編號  武器 	 圖像大小 	攻擊力 	價錢 
WP01. 西瓜刀  	 180x240 	14 	$80 
WP02. 牛肉刀  	 180x240 	18 	$100 
WP03. 木棒  	 180x240 	10 	$40 
WP04. 鐵球棒  	 180x240 	16 	$90 
WP05. 鐵通  	 180x240 	12 	$30 
WP06. 鐵槌  	 180x240 	24 	$180 
WP07. 鐵鏈  	 180x240 	20 	$120 
WP08. 高爾夫球棒 180x240 	20 	$250 
WP09. 水候通  	 180x240 	11 	$60 
WP10. 雙節棍  	 180x240 	18 	$150 
WP11. 皮鞭  	 180x240 	20 	$200 
WP12. 電棍  	 180x240 	26 	$500 
WP13. 小刀  	 180x240 	10 	$40 
WP14. 菜刀  	 180x240 	12 	$60 
WP15. 鋸齒刀  	 180x240 	20 	$100 
WP16. 電鋸  	 180x240 	30 	$800 
WP17. 小斧  	 180x240 	22 	$200 
WP18. 鐵斧  	 180x240 	28 	$400 
WP19. 精鋼放血刀 180x240	32	$????
WP20. 警棍	 180x240	12	$0
WP21. 警槍	 180x240	40	$0
WP22. 生果刀	 180x240	5	$30
